id,unique_id,song_id,path,title,artist,album,genre,lyrics,isrc,playlists,length,amplify,fade_in,fade_out,cue_in,cue_out,cross_start_next
6840,40d82a7ac1900393c7d46235,f6864a7567fe0e027637f8527ee3f94c,bad_wolves_-_zombie_(lyrics).mp3,"Zombie (lyrics)","Bad Wolves",,Music,,,default,268.56,,,,,,
6841,6de00aa21c596c95a16b8fbf,21105c4a8e18125e7672c936f9a2e730,"brad_paisley,_alison_krauss_-_whiskey_lullaby.mp3","Whiskey Lullaby","Brad Paisley, Alison Krauss","Hits Alive",Music,,,default,259.488,,,,,,
6842,c9b252fd9ba93ce93f6c5ff6,cea1c622d1bffcf3f20a4486683c7e31,enya_-_only_time.mp3,"Only Time",Enya,"A Day Without Rain",Music,,,default,218.616,,,,,,
6843,224a29bd78d8689a8ea42d19,8fdf514e4ccabcec57fea125d800911c,hozier_-_take_me_to_church.mp3,"Take Me To Church",Hozier,,Music,,,default,240.336,,,,,,
6844,dacd0277e92b836b4cb00f70,912665431c973c5818044bf1a3981837,lee_ann_womack_-_i_hope_you_dance_(lyrics).mp3,"I Hope You Dance (Lyrics)","Lee Ann Womack",,"People & Blogs",,,default,294.6,,,,,,
6845,39288c327e87a4c03564d3e5,e4ccf59fb01a9607a20e2c2d4211ede4,lukas_graham_-_7_years_[official_music_video].mp3,"7 Years [Official Music Video]","Lukas Graham",,Music,,,default,239.232,,,,,,
6846,8b285fbe60e652b9d7767c9e,0fda8cfe7cb149c035e3187fd11e6cce,matchbox_twenty_-_push_(official_video)_[hd_remaster].mp3,"Push (Official Video) [HD Remaster]","Matchbox Twenty",,Music,,,default,245.136,,,,,,
6847,86378865b16268b9ed165391,caeba2c3fd7b1dfef27cf4a4732716c8,ruth_b._-_lost_boy_(lyrics).mp3,"Lost Boy (Lyrics)","Ruth B.",,"People & Blogs",,,default,271.872,,,,,,
6848,6ddfdd8704051315f8035ef1,21a6d51f3720e40b607f1b30e3a5828a,shinedown_-_searchlight_(official_lyric_video).mp3,"Searchlight (Official Lyric Video)",Shinedown,,Music,,,default,211.08,,,,,,
6849,0547147b79b46a7f3cd0b23d,9cfae152c7d590d1b6551c8e97cb8e00,staind_-_its_been_awhile_(official_video).mp3,"It's Been Awhile (Official Video)",Staind,,Music,,,default,303.384,,,,,,
